CHAMPION	DIFFICULTY	WHAT TO DO	
Nunu	Trolling	If they play nunu top they are trolling.	
Olaf	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. The biggest part about the Olaf matchup is to get him to throw axes at you while you are sitting in your minion wave so that he shoves into you. Having the wave pushing towards Olaf is typically bad. Olaf has really good all in with the axes and he can potentially just run you down the lane if he hits more then 1 in a row. At level 4 you do have opportunities to trade/allin the olaf assuming you kept your health pool pretty high. A big opportunity to all in Olaf is if he throws an axe pretty far away from himself, if you spin on him and look to all in, he cant run towards his axe to reset his q cooldown which gives you a great advantage. You can also take advantage of his W cooldown which gives him a lot of lifesteal and attack speed to look for trades if he wastes his w. Post 6 you start to outscale Olaf, your ultimate is much better then his for the 1v1. In the mid-late game you will be able to beat Olaf 1v1 outside of his turret, if you are ahead you can even turret dive him 100-0. If you feel you cannot dive him, try to push in and outrotate him with the insane mobility Tryndamere has and look for flank opportunities to start a fight with a man advantage. 	
Orianna	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Orianna has really good ranged harass and zone with her ball, however; she is immobile. Early on we can trade into her after building a little bit of fury with a spin and 1 or 2 auto attacks and back off. We should look to secure level 2 advantage by pushing faster then her. Once we have pushed in, just let it push back and look to keep the wave on your side of the lane to give you more room for an allin on her. In the mid-late game Orianna has some serious burst and kiting ability. If we miss our w slow after spinning in it could be fatal. Tips with w slow against orianna is to try to time the slow in between her auto attacks where she faces away from us to kite. We should be able to 1v1 orianna outside of her turret range, but under turret she has enough crowd control to kite us to our death (and dont forget to check to see if she has zhonya/stopwatch!) Orianna is immobile so if we feel we cannot dive her after shoving in then we can look to rotate and look for opportunities to flank with a man advantage. 	
Ornn	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Dorans shield start. Ornn has really good early damage and it is very hard to take successful trades into him whether its an extended trade or a short trade. Your best bet in this matchup is to look to farm up as much as possible get your tiamat, and just scale up. Ornn has sustain because he can build items in lane and can be hard to allin because of his crowd control and damage. If you do see ornn building an item, you can stop him from building the item by damaging him. Ornn has a 10 second cooldown on building items after taking damage. If you do take a trade with ornn however, try to make sure that you arent hit by the end of his w (his breath) or you will get the brittle debuff on you which he can auto you for huge damage. In the mid-late game if you stayed even after laning phase you can 1v1 ornn outside of his turret range, if he hugs turret then shove him in and look for opportunites to rotate and flank his team while he is stuck under turret farming.	
Pantheon	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Dorans shield start.  Pantheon is an early game bully who can follow you on roams and can effectively stop you from all in diving because of his E. Early laning will mostly be dependent on how the pantheon is using his abilities. If he is hitting his q's on you early then don't look to trade and just farm. However if you dodge enough Q's and are able to build up fury you can trade a bit. Can be hard to all in the new pantheon though because of his E blocking damage for 2.5 seconds, but he only blocks damage from one angle so if you are able to get behind his shield you can damage him (and also avoid his damage from his E). Keep health pool high because pantheon gets an execute on his Q if you fall below 20% hp.  You can lose this matchup if you over commit into one of his combos, his all in is actually decent even early on. Later on in the game he can be difficult to dive so make sure that you try to bait out his E before committing to a dive or he can turn it against you.	
Poppy	Hard	Lethal Tempo Runes and build. Ignite + Flash. Dorans shield start.   Poppy is one of the hardest counters in the game to Tryndamere all throughout the game. She is a tough lane bully to play against and in the mid-late game she can deny you from getting onto carries with her W which stops dashes (including your spin.) Her E can knock you back and if you get hit into a wall it deals double damage and stuns you. She is close to impossible to dive unless you got her low before hand. She gains a large shield with her passive auto attack on a 16 second cooldown (you can stop her from getting the shield if you step on the buckler that appears on the ground.) Very early levels though, usually just level 1-2 is your one chance to look for an advantage against her solo. Look to use and abuse heavy trades after building fury on the wave to get good trades into her. Poppy is tanky but does not have sustain. Her q deals 2 ticks of damage so make sure that if she hits her q on you that you side step the 2nd instance of damage. When trading with Poppy or if she is shoving you in, try to avoid being close to walls (when farming under turret make sure to not give her too big of an opening for her to slam you into your own turret.) In the mid-late game against Poppy assuming that you are even in gold with her, you can win allins when she is shoved deep into your side of the lane (after you are 4 items or more), but it is pretty much impossible to dive a poppy. So if you do get the ability to push a poppy in try to rotate and make a play while Poppy is stuck under turret farming the wave you shoved in. If Poppy is a part of teamfights, make sure that you look to focus carries that are not close to Poppy or wait for Poppy to blow her cooldowns before engaging.	
Pyke	Easy	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Pyke does not have good waveclear and cannot all in Tryndamere. Tryndamere with the sustain from fleet resolve can stay high hp so that pyke cant go in for a burst combo. With Tryndamere's superior waveclear he can shove pyke in repedeately. If you can dodge pykes stun when he disengages and you still have spin you can look for an allin on pyke if you start trades with an auto attack if he is on your side of the lane. Most of the time this will be a farm lane, so just get your tiamat shove in and look to deep ward, get jungle camps, or roam (if there is an opportunity.) In the mid-late game against Pyke when you get more points in your w slow you will find more and more spots to all in the pyke. Just look to sidestep his stun after you spin on him and then w slow to catch up.	
Qiyana	Hard	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Qiyana has very strong trades and has the ability to go invisible for 3.5 seconds on a 7 second cooldown. Your windows for trading on qiyana is levels 1 and 2 (assuming you get level 2 advantage.) Once qiyana has access to her w and q is when she gets the ability to go invisible. Qiyana can be very elusive with her abilities in general and has strong damage however fighting her in the center of lane is your best bet, take small trades when she doesnt have the invisibility (she must w towards a brush to get the invisibility, the w is on a 7 second cooldown.) Mid-late game split push Tryndamere still has mobility advantage but he struggles dueling vs qiyana due to her high damage and elusiveness. Your best bet is to shove in and out rotate qiyana, and force things to happen away from her. If she follows you on the rotation, then go back to splitting the side lane, try to always fight away from her.	
Quinn	Medium	Lethal Tempo Runes and Build. Ghost + Flash. Cloth 4 potions start. Quinn has strong poke and strong disengage. You do not want to trade into quinn early whatsoever. Only look to farm and scale up. If quinn is using her spells too aggressively however and wastes her E cooldown (the one where she does a backflip off of something) and you have a good amount of hp and your spin up, that would be the one time you would want to trade into quinn early. To beat Quinn consistently, farm up for a bit of damage + tier 2 boots (you can wait for full essence reaver completion too), use ghost to force Quinn's e then follow up on her with your spin, when she flashes you follow up with flash. One tip against Quinn that is useful is regarding her E cooldown. Quinn and Tryndamere's E cooldowns are both 12 seconds level 1, however tryndamere can lower the cooldown of his spin with crits on champions or minions. So if you spin on quinn, crit her, then she e's away from example, that means you have atleast a 2 second window for another really good trade into her when your spin comes back up, and the window can get larger if you go back after trading and crit some minions to lower the cooldown of your spin even more. In the mid-late game you will win the 1v1 against quinn because of your ghost + flash and ability to stick onto her with your spin cooldown. One exception to this is maybe something like glacial augment quinn with blade of the ruined king ghost blade cleaver shojin or something ridiculous that makes her able to fight you (but then it also makes her useless in literally every other situation.) So if you do run into that kind of quinn who built solely to kite you out in a 1v1, just look to group and she will be useless.	
Rakan	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Rakan in a solo lane will usually run ap which gives them very strong short trades. Tryndamere can force an extended trade against rakan by starting the trade with an auto attack, using w slow to stick on top of him, then spinning after he w's away. The best way to set up an allin on Rakan is by manipulating the wave so its closer to your turret, which will give you more room to run him down. Post 6 Rakan can set up ganks for his jungler and can also have a good amount of burst when he gets protobelt. Make sure you keep your health high so you dont get bursted down. After 1-2 items Tryndamere will always win the 1v1 in side lanes so splitting against him is a very effective strategy. When diving Rakan, look to burn his cooldowns, sometimes you can force rakan to ulti, then you can back off the dive before you are forced to ulti, then you can sustain back up and redive with ultimate advantage.	
Rammus	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. The best way to beat a rammus is by committing to an allin when his W is down. Force his w cooldown by walking up and auto attacking him, then walk/spin away. Then when his w is on cooldown you can reengage on him and abuse him with your sustained damage. You want to get early advantages on Rammus because in the mid game it will be extremely hard to find opportunites to kill him. When you get to your end game build, you will be able to fight him but there will be a period of about 10 minutes of gametime atleast where he will have an advantage on you if you dont snowball early. So to get a lead in lane, look to be aggressive, punish w cooldowns, manipulate the wave so its on your side of the lane so you have more room to run him down with (or set up a jungle gank.)	
Rek Sai	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. SHE has good short trades against tryndamere but will have a hard time disengaging from Tryndamere who can force an extended fight. To start an effective extended trade against Rek'sai (girl btw) you need to start the trade off with an auto attack when SHE goes up to farm a minion, save your spin for when SHE tries to disengage with HER tunnel and knockup and you can w to stick onto HER as well. SHE will have true damage if SHE builds up HER bar all the way with HER E. IMPORTANT NOTE: You cannot flash Rek'sai's ultimate damage. Also SHE can use HER ultimate on you whenever you take an auto or Q from HER. HER burrowed Q also gives HER vision of you for a duration. Rek'sai has narrow vision when SHE is burrowed, but SHE can see tremors of things that move. In the mid-late game Tryndamere will have no problem winning the 1v1 against Rek'sai.	
Renekton	Hard	Lethal Tempo, Triumph, Legend Tenacity, Last stand + Boneplating and unflinching.  Ignite + Flash. Dorans blade potion start. Renekton is one of the most annoying early game bullies to face as a melee top laner. Tryndamere has one opportunity to take control of the lane and that is with his level 2 power spike. Look to build up fury level one and take an extended trade with renekton, you can even look to take a trade with no fury as long as you use your entire boneplating then back off. Renekton doesn't have as much sustained damage as you level one, so if it turns into an all in you should win (especially if you get any crits.) Once you get level two, you can look to spin in on renekton as well and force a trade. Look to get the 2nd wave into turret before the third wave comes up then allow the wave to shove back towards you, depending on your trades early on will determine if you can play aggressive. With the new build setup, the double dorans will give enough sustain and hp so you dont get 100-0'd. Look to always make sure that if you take a big trade into renekton that you go for it with your boneplating available. Tryndamere can start fighting more actively with double dorans + tabis spike. In the mid-late game you can duel renekton 1v1 outside his turret range past 3 items if you didnt fall massively behind from early game. If you want to dive renekton you have to prepare him with short trades (auto attack + spin out) under his turret until he gets about 2/3 hp and even then it can be risky. It can be a better option sometimes to look to push in and rotate to look for opportunities for a flank rather then try to deal with renekton directly.     ***NEW BUILD*** Double dorans blade into ninja tabi into blade of the ruined king into essence reaver into Phantom Dancer into deaths dance into youmuus (could change a couple of things most important is late game u have 40% cdr)  Clip 1 showing Important mechanic against renekton https://clips.twitch.tv/BlindingLovelyPhoneRlyTho   Clip 2 showing important mechanic against renekton https://clips.twitch.tv/CrispyCaringRedpandaRiPepperonis 	
Rengar	Medium	Lethal Tempo Runes and Build. Ignite + Flash or Ghost+Flash. Long sword refillable potion start. Stay away from the brush early on! You need to keep out of rengar's leap range in the early game. Rengar top will naturally push towards you because he will try to stack up his passive to put pressure on you. Don't trade with him levels 1-3 he is just straight up stronger! Once you are level 4 as long as you have kept your health pool high you can look for trades against rengar, however he wins short trades so preferably you want to look for an allin on him when he jumps on you. Save your W against rengar until he has used his empowered ability if you are looking to allin because his empowered W can remove crowd control (including your slow.) You outscale Rengar in the 1v1 in the splitpush in the mid-late game, just be careful when he ults for you that you press R on time. One tip for pressing R on time against Rengar is positioning your character when he is ulting towards you in a spot where you can see where he is jumping from. If you are standing next to a brush, or a wall that he can hop over you wont see him until he is right on top of you, but if you are in an open area you will have about a .5 second window to press R if his items can one shot you.	
Riven	Hard	Lethal Tempo Runes and Build. Ghost + Flash or Ignite + Flash. Long sword refillable potion start or Dorans Blade start. As far as deciding between ghost or ignite, be honest with yourself. Are the riven players at your elo kiting you enough to the point you need the ghost? Or can you get successful allins because they waste their cooldowns going into you so you can use nimbus cloak from ignite to stick to them. Tryndamere is stronger then riven in level 1 and level 2 allins (as long as riven doesnt have ignite), BUT only when you play it well. You want to build up fury before engaging a trade versus Riven and you want to avoid taking small trade damage while building up fury, once you have built over 25% fury is usually when you can be aggressive and look for a trade. Riven players that know the matchup will typically play back after you have built up fury so what you want to do is get level 2 advantage by pushing in the wave and then pushing the second wave completely into turret so that the wave "bounces" back to you (pushes back towards you.) If you couldn't find a good trade into riven on the first two waves just play back and safe until the wave crashes back into your turret. You can walk up and auto minions as its pushing back to you, but if she looks to trade then just walk up and spin away from the minion (while killing it to get the farm.) In this matchup you want to make sure you are always trading with minion advantage and that you are in a good position in lane to force an extended trade. Riven will win all short trades (played correctly) so Tryndamere must look for extended trades. On Riven's first back she will most likely pick up a CDR item which will allow her to extend her Q. What extending her q means, is that if she uses her Q, and waits till the very last second to use her 2nd and third q's then she can go instantly right into another set of q's. This is very powerful against tryndamere and will provide really good burst and/or allow her to disengage after trading. Spots where Tryndamere can punish Riven is purely how the Riven player uses her cooldowns. If she does not extend her q enough then there will be a longer cooldown until she can use her set of 3 dashes again. If you notice riven use her w or e without it being a trade on you, you can look for a trade. Every trade you must be willing to all in with ghost if you see an opportunity to run her down. In the mid-late game duels against Riven are all about if you can stick onto her and force the allin, and the way Riven wants to win is by bursting you to force your ultimate then kite away. Tryndamere's Ghost + CDR will help him all in a riven but must pick a good spot preferably with rageblade stacked as well as full fury and ghost ready. If you are winning against Riven look to pressure her hard, and potentially look for dives under her turret. If you are losing, look to push out waves and rotate to other waves, jungle camps, or flank opportunities.	
Rumble	Medium	Lethal Tempo Runes and Build. Ignite + Flash or Ghost + Flash. Dorans shield potion start. Rumble has very strong pressure on Tryndamere early game, but will struggle heavily in duels later in the game. You want to farm in this matchup early. After level 4, tryndamere can look for opportunities to trade with rumble. What you want to be looking for is his heat bar. When his heat bar is in the yellow he is gaining 50% bonus effectiveness on his abilities (more dmg from his flame, more shield, more slow and damage on harpoon.) If Rumble overheats (goes all the way into the red on his heat bar) you can look for a trade if you are high on hp or if rumble goes too low on his heat bar (has barely any heat and is not close to yellow.) Post level 6 Tryndamere gets his ulti which will allow him more spots to beat up on Rumble, but a good rumble player will know how to keep tryndamere too low to look for an allin. If the enemy team has a lot of slows, swifty boots are a great option for sticking onto rumble in the 1v1 because of his big slows on his harpoons and ultimate. If you feel like you are sticking onto the rumble pretty well though you can just run berzerker greaves. If enemy team is heavy magic damage then merc treads is also a good option. Tryndamere outscales rumble in the mid-late game heavily in the 1v1, rumble's only hope is to hug turret and try to kite out a dive or to group with his team and force a play before Tryndamere can pressure.	
Ryze	Hard	Lethal Tempo Runes and Build. Ignite + Flash. Dorans shield start. Ryze has really good poke early but since his W is no longer a root (unless he empowers it with his E first) tryndamere can get really strong trades against him. In the early game, ryze is very squishy and tryndamere can take advantage of that for some strong trades especially level 1 and 2. Try to punish ryze before he can go back and grab tear. Do not use your w slow on ryze until his phase rush is on cooldown because it would just be a wasted animation. Ryze has really good waveclear and damage once he completes his tear and can do very well in trades vs you. Once you get tiamat and tier two boots (can go zerkers or merc treads) you can typically have good trades into ryze. In the mid-late game splitting against Ryze can be difficult because his burst is very high as well as having good kiting between his movespeed from his passive as well as phase rush. You need to try and bait out his phase rush without burning ultimate, and when his phase rush is down you can look for a solid trade. Or if you have 100% crit and 40% cdr you can spin auto attack twice and reset your spin again to catch up to him on his phase rush activation. Pick your spots against Ryze well, make sure you are fighting him with your fury stacked, if you try to greed an allin without having full fury he can kite you very easily.	
Sejuani	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion. Sejuani can play the lane fairly safe, but also cannot stop you from farming well. If you want to trade with sejuani you must first break her passive by dealing damage to her because it grants bonus armor and slow immunity. Sejuani doesnt have the best kit for farming under turret, so if you want to build tiamat in this matchup that could be a good option to shove her in constantly. If you run tiamat, make sure you push in and look to roam, take jungle camps, or get deep vision. Don't just sit in lane after shoving in. In the mid-late game sejuani can be difficult to dive but you can shove her in constantly and either get turret damage or look for opportunities to outrotate sejuani for a flank on the enemy team.	
Senna	Easy	Lethal Tempo Runes and Build. Ghost + Flash. Dorans shield start. Biggest thing about this matchup is dodging her W, if that is down and your spin is up then you can kill her pretty easily. Early on in the game will be a struggle but post 6 with ghost+flash you can run her down. Most senna top lanes will take grasp or glacial, grasp does more dmg whereas glacial is more for kiting and setting up her passive, tryndamere can outsustain senna's damage pretty easily and if you hold the wave on your side its an easy gank. In the mid-late game Senna cannot hold tryndamere 1v1 so if you are feeling uncomfortable with the matchup, you can play perfectly safe and play to scale if they have no one else on their team to fight you 1v1.	
Sett	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Dorans shield start (u can start longsword if u play it right). Look to only take short trades with sett especially early on. Allow sett to shove you in early, even bait him into attacking you so your wave attacks him instead of the enemy minions to force the wave to shove in faster so you can farm under turret. If you commit to a full on all in make sure you are ready to spin/flash/walkthru his w or it will wreck you. Sett will beat you early levels but you will outscale him in the 1v1. The center line of his W does true damage so do your best to completely walk out of his w or atleast dodge to the side to only take physical damage. Sett can guarantee that he hits the true damage if he stuns you into his w. Biggest thing about this matchup is that you dont give him a way to take a heavy trade with you early, Sett is really susceptible to jungle ganks so if you keep your health pool high you can SETT him up to be ganked easily.  	
Shaco	Easy	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield. Stay within your minion wave if you are playing against AP shaco and just shove him in. AP shaco has a very hard time farming under turret, you don't have to kill shaco to win this matchup hard, you just need to put constant pressure on his turret by pushing constantly. Shaco might try to bait you into traps but if you just stay to your gameplan and win with a massive farm advantage he cant stop you from scaling into a monster. Sweeper can reveal shacos location (as well as his boxes) while hes stealthed if you want to chase him down. In the mid-late game you can mostly ignore shacos damage hit turret, and then back up and sustain back up. Rinse and Repeat. Or you can look to take short trades (auto attack + spin away dealing the damage with your spin) until you get him low enough to burst him or push him off turret.	
Shen	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Shen early game can take very good short trades with you. Be very careful about his sword positioning, if he pulls it through you he can get a lot of extra bonus damage and attack speed against you for a solid trade. You can start looking for allin trades with shen around level 4 (unless he wastes his q level 1 and 2 for farm instead of using it to trade with you.) When fighting against Shen what he will do is use his q, block auto attacks with his W and then taunt through you back to his turret, so in this matchup when you are going for an allin DO NOT position between Shen and his escape path if you dont think 100% sure you are killing him. If you put yourself between Shen and his escape path he can taunt through you dealing extra damage and disengaging from you. This will save you extra hp on each trade. At level 6 is when Tryndamere can start to really dominate Shen. Shen gets an ultimate which is USELESS for a 1v1 and Tryndamere gets 5 seconds of being unkillable. You can run tiamat with lethal tempo build in this matchup if you would like to put some extra pressure on Shen and his turret. One tip about Shen's W is that it blocks auto attacks but only on himself and other champions so if there are minions around shen when he W's and you have tiamat you can actually hit the minions or use your tiamat active and still damage him. If you are looking to dive Shen, try to bait him into taunting you under turret, this saves you from having to chase him down through his dash away from you, also puts him right on top of you and you start the dive with an auto attack which is what you want. Before you look to dive Shen, make sure you "prepare" him by taking short trades with auto attack + spin out (while dealing the spin damage on the way out.) In the mid-late game splitpush you outscale Shen in the 1v1, but it can be hard to dive him effectively because of how tanky he gets. Make sure that every time you shove Shen in that you are doing 1 of these 3 things, make sure you are looking for trade damage on Shen, make sure you set up deep vision to protect you on the splitpush, and make sure you look to take enemy jungle camps when you can. You can get leads on Shen in the splitpush without killing him, but always look to pressure him first. If his team is closeby and you dont wanna risk getting caught out just place some wards or take some neutrals. If it is pure 1v1 though you should always look to pressure Shen and look to get him low enough so you can dive him.	
Shyvana	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Shyvana top really has no way of escaping your all in if you hit your w slow to stick onto her. She can get really tanky but for the most part if you look to take extended trades you will win against her. One thing to note is that if she hits her E on you, you will take bonus damage from her auto attacks. So if you dodge her E or if she e's on a minion that can be a good time to trade with her. Her ultimate grants her bonus resistances and damage on abilities as well as the dragon's flight which deals a good amount of base damage. If shyvana builds AP then her E is going to HURT, so look to dodge her E and all in her. In the mid-late game splitpush, Shyvana cannot handle Tryndamere 1v1 just because Tryndamere sticks way too well to targets with the W slow and the cooldown on his spin.	
Singed	Medium	Lethal Tempo Runes and Build. Ignite + Flash or Ghost + Flash. Long sword refillable potion start. There are two types of singed players, singed players who go for laning dominance with ignite + an aggressive keystone, and then there are singed players who take aftershock and want to scale up into teamfighting well. Against a singed player who is going for a lane dominance build, you don't have to play too aggressive, look for spots where you have high health and fury and he is on your side of the lane for a potential all in, or you can just sit back and farm and wait to outscale him in the mid game. Against a singed with aftershock look to be very aggressive with him especially level 1 and try to punish him before he can even use his keystone. Aftershock singed will typically struggle to outdamage you, so you can typically get good allins on him. Something an aftershock singed might do is proxy your wave behind you. If your jungler is around or mid laner is willing to rotate you can look for a free kill on him, or you can go and proxy singed's wave and ALSO take his jungler's camps. If you are playing against a proxy singed then look to buy tiamat potentially and just farm absolutely everything. One tip against singed if he looks to do the goo + flip combo, look to back off of singed before he flips. There is a small delay when he is casting goo that you can back off the trade before he flips. In the mid-late game splitpush Singed can kite pretty well and do a good amount of damage with Rylais, but once you get max level W he won't be able to kite you anymore and you just straight up win. You also win against him after about 3 items as long as you have full fury/hp when you fight him.	
Sion	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion. Sion matchup is all about looking to force extended trades. Level one build up a little bit of fury and look for a big trade (dodge his q!) and typically you can get a good amount of damage on him, get level 2 power spike and look for an allin. If sion plays it safe get the first two waves into turret and let the wave "bounce" back towards you (minion waves crash all the way into turret then it starts pushing back towards you.) One tip against sion players is that you have to watch out for his 2 cheeses. He can cheese your buff level 1 by late invading into killing himself on the buff then taking it with his passive. Another cheese a sion player will do is wait in the second brush top lane and full charge a Q from the brush to get the first 3 minions and deal a lot of damage to you. If you avoid being cheesed by both of those and are able to play the matchup straight up you should win the early laning phase. Whether you snowball against sion or not depends on how well you can extend a trade, and how well you can manipulate the minion wave to set up proper allins using the length of the lane to run him down (basically look to have the wave on your side of the lane.) Make sure every time you kill Sion that you run away immediately so that you dont die to his passive. A lot of this matchup as well is dodging his q so make sure while you are trading with him that you sidestep his knockup. Also after level 6, make sure that you are in between sion and his escape path so the he cant ult away from you during the all in. In the mid-late game splitpush if sion is too tanky, just shove him in and use your superior mobility to outrotate him and take extra waves, jungle camps or even look for a flank opportunity if you see one.	
Sivir	Easy	Lethal Tempo Runes and Build. Ghost + Flash. Long sword refillable potion start. Sivir top has no way to escape your all in, she gains a bit of movespeed on each auto and her boomerang, but that usually isnt enough to prevent your all in. Tips when going all in vs sivir, either use ur w before u spin and hit the slow or when you spin in on sivir hold on to your w slow until after her spellshield is down (often times when you spin in the sivir will use spellshield in anticipation of your w slow.) You can always use your ghost to run her down as well. Post 6 sivir gets another speed bonus with her ultimate but that usually wont outrun your w slow + ghost. If you burn her ultimate without using yours, you can back up and then reengage on her with your spin when her ulti is on cooldown. In the mid-late game sivir cant hold you 1v1.	
Skarner	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. What you wanna watch out for when dueling skarner top lane is his E. If you get hit by his E you get slowed down and his first auto on you will stun you and grant him bonus attack speed. If you are able to dodge his E or he wastes it on minions that is when you want to trade. Skarner can get pretty tanky and deal a good amount of damage with conqueror + trinity force however Tryndamere has more out of combat mobility as well better farm and waveclear. Make sure to take control of his spires in areas that you are potentially gonna fight him (and the free 15g at the beginning of the game by taking a spire.) In the mid-late game splitpush look to catch out skarner away from his turret, or buy a QSS so you can dive him. Merc Treads are VERY good in this matchup because of his CC that is very easy to hit. Also if the skarner builds a lot of cdr be very careful trading with him close to his turret, he can E then pull you under turret, auto attack to stun you then e and auto attack to stun you again for a 4.5 second CC chain (that + turret dmg = u dead)	
Sona	Easy	Fleet Footwork Runes and Build. Ignite + Flash or Ghost + Flash. Dorans shield start. Sona is the squishiest champion level 1. You can look to trade and fight her even without building up fury first, look to be very aggressive. You have extra sustain with fleet and second wind + revitalize if you didnt find a successful trade against her. At any time post 6 if you have ghost and ultimate up with full fury and hp you can kill sona and even dive her 100-0. You also outscale her the whole game in the 1v1, she can never hold you.	
Soraka	Easy	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Soraka has some ability to kite and poke you but you outscale her very easily. If she is playing really far back and safe just farm it out and after tiamat you can look to set up dives on her. Look to avoid the root on her silence and remember she can turn to face you when she silences, when she q's and when she autos. So usually a good time to w is after her q. In the mid-late game splitpush soraka cant hold you alone. 	
Swain	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Swain has really good poke, but you can get good trades on him every time he misses his E or wastes his W. Otherwise look to farm until tiamat. After tiamat when you trade with him make sure you look to dodge his E during the trade or you will lose the trade pretty hard. His E will get caught on the 3 ranged minions if you position yourself in between swain and your ranged minions. You can keep track of how much damage his ulti will deal based on how many soul shards he has which is right below his resource bar. He can have up to 5 soul shards and if he has all 5 his ultimate will deal maximum damage. In the mid-late game swain will have a hard time dealing with you 1v1 and you can abuse his cooldowns really well if he ever misses something. However he can be hard to dive at 100% HP just because of his ulti healing and zhonya, so if he is hugging turret hard use your mobility to take jungle camps or look for an opportunity to roam in between waves.	
Sylas	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Sylas has really good short trades but his sustained damage sucks. Tryndamere has pressure against Sylas level 1 and level 2 and can look for all ins early. Look for extended trades versus him, and if you are all inning him pre-6 make sure you ignite him to reduce his healing on his W. Post 6 Sylas can steal your ultimate making it harder to dive/allin him HOWEVER, what you can do is force sylas into taking your ultimate and wait out the cooldown of the ultimate (he cant resteal your ultimate for double your ultimate duration) and then all in him. Also what you can do is use your ignite a second or 2 AFTER sylas uses your ultimate and then ignite him and run away. Sylas can only heal with his W on champions so if you ignite him and run away you can actually just kill him with ignite since he cant heal thru it like tryndamere can with trynd Q. In the mid-late game you want to catch sylas out away from turret so you can beat him 1v1. It is extremely difficult to dive Sylas under his turret because of his ability to steal your ultimate, you would either have to burst him before he uses your ultimate or you would have to force him to use ultimate before you have to use yours to beat him. Really good items to start out with against Sylas especially if you are ahead is tiamat into executioners so you can proc the grievous wounds from the tiamat aoe range, and that way you dont have to ignite for grievous in the all in, u can instead ignite for the kill 2 seconds after he uses your ultimate that he stole from you.	
Syndra	Medium	Fleet Footwork Runes and Build. Ignite + Flash or Ghost + Flash. Dorans shield start. Syndra has amazing poke and disengage, however before she gets her back for lost chapter she is gated by her mana costs. Look to outsustain her mana pool to beat her. Also if she ever uses her E to poke you rather then disengage and you have high enough hp/fury you can look for a good trade. If Syndra is starting to run low on mana and you have a good amount of hp you can force her to run out of mana by spinning on her. Your ultimate counters her burst and she is very squishy so if you can stick onto her you will be able to win in a 1v1. Mid - late game split push against Syndra you should win pretty easily especially if you have summoners to flash her E stun or if you hit your W slow.	
Tahm Kench	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Do not look for fights or trades with tahm kench. Make sure that when he applies a stack on you that you let it fall off before walking in his range again. The only trade you should take with tahm kench is an auto attack + spin out when you are going for a minion to farm. Try to let tahm kench push you in always, if the wave is starting to push towards him that is bad. He can all in you very well and he wins short trades and extended trades. Only chance you have of beating him is with jungle ganks or if he runs out of mana. If you can, swap with your mid laner (if your mid laner can handle tahm kench) as you will most likely have an easier time against any other opponent than tahm kench. You do not outscale tahm kench in the 1v1, but you do outscale him in team fights. Tahm kench does not have good scaling in a fight where you can destroy squishies. When splitting go opposite side of the map where tahm kench is and use your mobility to outrotate him as much as possible. UPDATE FOR 9.14, Tahm kench got SIGNIFICANT nerfs and is no longer a hard matchup, but still can be annoying to deal with.	
Taliyah	Medium	Fleet Footwork Runes and Build. Ignite + Flash or Ghost+ Flash. Dorans shield start. Taliyah's rocks she scatters across the ground will damage you if you spin into them or if she knocks you into them. If she goes for a combo to try and knock you into the rocks and misses, you can look for a really solid trade/all even early in the game. Taliyah's Q will fire multiple times in areas where there isnt the "worked ground" which is a red circle on the ground. In the 1v1 in the mid-late game you will outscale her and can look for high pressure dives as well. Make sure if she is holding you that you look to pressure her because if you look to roam she can follow up easily with her ultimate.	
